Date,Ouverture,Haut,Bas,Fermeture,Volume
19/01/2026 17:40,"17,27","17,41","17,17","17,41",3147970
20/01/2026 17:40,"17,34","17,42","17,11","17,26",2967806
21/01/2026 17:40,"17,2","17,34","17,05","17,28",3188763
22/01/2026 17:40,"17,46","17,58","17,35","17,49",3682320
23/01/2026 17:40,"17,51","17,65","17,37","17,45",3228681
26/01/2026 17:40,"17,52","17,76","17,5","17,72",3283602
27/01/2026 17:40,"17,95","18,27","17,95","18,19",5994817
28/01/2026 17:40,"18,2","18,22","17,99",18,4987367
29/01/2026 17:40,"18,15","18,25","17,99","18,08",5093801
30/01/2026 17:40,"18,2","18,27","18,11","18,27",3653707
02/02/2026 17:40,"18,16","18,5","18,1","18,48",3842278
03/02/2026 17:40,"18,7","18,84","18,63","18,75",5647552
04/02/2026 17:40,"18,18","18,36","17,8","18,18",8139828
05/02/2026 17:40,"18,25","18,33","17,63","17,72",5694454
06/02/2026 17:40,"17,72","17,91","17,67","17,86",3668028
09/02/2026 17:40,"17,95","18,24","17,9","18,18",4255601
10/02/2026 17:40,"18,22","18,42","18,04","18,04",4146587
11/02/2026 17:40,"18,05","18,24","17,83","18,03",4022006
12/02/2026 17:40,"18,2","18,3","17,9","17,94",4538782
13/02/2026 17:40,"17,86","18,02","17,66","17,77",5237023
16/02/2026 17:40,"17,9","18,13","17,9","18,02",3329081
17/02/2026 17:40,"17,77","18,1","17,73","18,05",3366938
18/02/2026 17:40,"18,13","18,36","18,13","18,3",3940926
19/02/2026 17:40,"18,36","18,43","18,18","18,26",3314235
20/02/2026 17:40,"18,3","18,69","18,26","18,57",4338404
23/02/2026 17:40,"18,74","18,9","18,65","18,72",4011415
24/02/2026 17:40,"18,6","18,6","18,3","18,51",3162085
25/02/2026 17:40,"18,64","19,08","18,64","19,02",4068313
26/02/2026 17:40,"19,08","19,08","18,92","19,02",2788307
27/02/2026 17:40,"19,02","19,15","18,68","18,79",4924563
02/03/2026 17:40,"18,24","18,52","18,08","18,39",5326519
03/03/2026 17:40,"18,03","18,06","17,24","17,58",9182593
04/03/2026 17:40,"17,5","17,77","17,3","17,6",4318684
05/03/2026 17:40,"17,58","17,6","17,01","17,01",6584299
06/03/2026 17:40,"17,2","17,26","16,52","16,79",5078433
09/03/2026 17:40,"16,31","16,59","16,2","16,59",5875604
10/03/2026 17:40,17,"17,24","16,94","17,09",8121645
11/03/2026 17:40,"16,93","17,16","16,89","17,01",4595237
12/03/2026 17:40,"16,91","16,91","16,39","16,51",5603486
13/03/2026 17:40,"16,32","16,53","16,22","16,33",4130843
16/03/2026 17:40,"16,3","16,55","16,17","16,39",4946164
17/03/2026 17:40,"16,38","16,68","16,38","16,5",3551783
18/03/2026 17:40,"16,64","16,92","16,59","16,64",5547390
19/03/2026 17:40,"16,43","16,5","16,12","16,26",6077380
20/03/2026 17:40,"16,47","16,56","15,98","15,98",11700973
23/03/2026 17:40,"15,78","16,45","15,54","16,18",7579467
24/03/2026 17:40,"16,24","16,3","15,93","16,11",3734372
25/03/2026 17:40,"16,33","16,45","16,24","16,33",4021781
26/03/2026 17:40,"16,18","16,24","15,91","15,95",4845336
27/03/2026 17:40,16,"16,06","15,7","15,87",4851193
30/03/2026 17:40,"15,8","15,86","15,68","15,85",3152098
31/03/2026 17:40,"15,84","16,07","15,76","15,93",4195913
01/04/2026 17:40,"16,46","16,65","16,41","16,58",7571774
02/04/2026 17:40,"16,24","16,41","16,1","16,36",5445796
07/04/2026 17:40,"16,47","16,73","16,34","16,42",3629085
08/04/2026 17:40,"17,26","17,65","17,22","17,29",8718618
09/04/2026 17:40,"17,3","17,34","17,1","17,2",4079479
10/04/2026 17:40,"17,26","17,33","17,05","17,18",4770506
13/04/2026 17:40,"17,03","17,09","16,89","17,09",2964584
14/04/2026 17:40,"17,24","17,39","17,07","17,36",4473514
15/04/2026 17:40,"17,42","17,45","17,23","17,36",4158332
16/04/2026 17:40,"17,42","17,51","17,27","17,29",3307718
17/04/2026 17:40,"17,3","17,78","17,24","17,78",5868959
